Camera_Location,Street
0057A,Northbourne Avenue
0076A,Yamba Drive
0016D,Lady Denman Drive
0185A,Brisbane Avenue
0017E,Long Gully Road
0157C,Tom Roberts Avenue
0211B,Lachlan Street
0234B,Nullarbor Avenue
0235A,Mapleton Avenue
0178K,Flemington Road
0037E,Namatjira Drive
0020X,Monaro Highway
0213A,Osburn Drive
0114A,Groom Street
0022D,Northbourne Avenue
0031B,Springvale Drive
0022H,Northbourne Avenue
0208C,Miller Street
0053C,Goyder Street
0125B,Castieau Street
0253A,Chippindall Cct
0118B,Tharwa Drive
0072D,Monaro Highway
0028B,Pockett Avenue
0075C,Parkes Way
0237B,Railway Street
0201A,William Slim Drive
4002B,Horse Park Drive Road Works
0037B,Namatjira Drive
0037C,Namatjira Drive
0037D,Namatjira Drive
0090E,Majura Road
0039C,Longmore Crescent
0039D,Longmore Crescent
3011B,Melbourne Avenue
3044A,Streeton Drive
3018A,Launceston Street
0228E,Well Station Drive
0066F,Ginninderra Drive
0055B,Athllon Drive
0155B,Charleston Street
0053A,Goyder Street
3024A,Bramston Street
3003A,Mapleton Avenue
0104A,Mawson Drive
3040A,Nemarang Crescent
0057B,Northbourne Avenue
3041A,Burrinjuck Crescent
3001A,Lhotsky Street
0147C,Eucumbene Drive
0066D,Ginninderra Drive
0069E,Erindale Drive
0115A,Isabella Drive
0071B,Launceston Street
0071C,Launceston Street
0178C,Flemington Road
0072K,Monaro Highway
0072M,Monaro Highway
0072Q,Monaro Highway
0074A,Mugga Lane
0115E,Isabella drive
3020A,Beasley Street
0120C,Kalgoorlie Crescent
0095E,Sulwood Drive
0132B,Canberra Avenue
3033A,Ratcliffe Crescent
0152D,Dixon Drive
0172B,Lawrence Wackett Crescent
3032A,Heydon Crescent
0093E,Southern Cross Drive
0101B,Nemarang Crescent
0098C,Haydon Drive
0102C,Fairbairn Avenue
0103A,Flinders Way
0185C,Brisbane Avenue
0209B,Bandjalong Crescent
0153B,Warragamba Avenue
0186A,Athllon Drive
0219A,Verbrugghen Street
0119P,Horse Park Drive
0137A,Kitchener Street
0154A,Barraclough Crescent
0164A,Barr Smith Avenue
0168B,Blamey Crescent
0175B,Sternberg Crescent
0174A,MacGregor  Street
0180B,Spalding Street
0186D,Athllon Drive
0188C,Johnson Drive
3011A,Melbourne Avenue
0195B,McCormack Street
0201C,William Slim Drive
0211A,Lachlan Street
0213B,Osburn Drive
0231B,Kings Highway
3004A,Nullarbor Avenue
0104B,Mawson Drive
0036C,Badimara Street
0020V,Monaro Highway
0001A,Adelaide Avenue
0130A,Chewings Street
0004D,Belconnen Way
0095A,Sulwood Drive
0032D,Kerrigan Street
0051B,La Perouse Street
0103B,Flinders Way
0166C,Beasley Street
0004Z2,Belconnen Way
0236A,The Valley Avenue
0071A,Launceston Street
0061U,Barton Highway
0211C,Lachlan Street
0208B,Miller Street
0164C,Barr Smith Avenue
0228D,Well Station Drive
0119L,Horse Park Drive
0022F,Northbourne Avenue
0238A,Lhotsky Street
0039A,Longmore Crescent
0074C,Mugga Lane
0020J,Monaro Highway
0010F,Ginninderra Drive
0004C,Belconnen Way
0164E,Barr Smith Avenue
0002D,Antill Street
0098G,Haydon Drive
0094A,Southern Cross Drive
3009A,Bandjalong Crescent
0261A,Cunningham Street
0249A,Jim Pike Avenue
0157A,Tom Roberts Avenue
0159B,Arthur Circle
0183A,Coyne Street
0178F,Flemington Road
0049A,Clive Steele Avenue
0047C,Chuculba Crescent
0098F,Haydon Drive
0017A,Long Gully Road
0226A,Langtree Crescent
0260B,Overall Avenue
0178J,Flemington Road
0205A,King Edward Terrace
0139D,Captain Cook Crescent
0189A,Downard Street
0033C,Gladstone Street
3049A,Wimmera Street
0231D,Kings Highway
0178D,Flemington Road
0153A,Warragamba Avenue
0044C,Tillyard Drive
0103C,Flinders Way
0186E,Athllon Drive
0092A,Northbourne Avenue
0087D,Clift Crescent
0016J,Lady Denman Drive
0050A,Darwinia Terrace
0016A,Lady Denman Drive
0253B,Chippindall Cct
0056F,Athllon Drive
0056A,Athllon Drive
0230B,John Gorton Drive
0003D,Athllon Drive
0010E,Ginninderra Drive
0142E,Sutton Road
0227E,Hoskins Street
0188D,Johnson Drive
0077G,Yarra Glen
0012H,Gungahlin Drive
0040C,Maribyrnong Avenue
0124A,Starke Street
0257A,Deamer Crescent
0227D,Hoskins Street
0146A,Perry Drive
0214A,Parkwood Road
0256B,Bugden Avenue
0257B,Deamer Crescent
0269A,Torrens Street
0266A,Ainsworth Street
0270A,Girrahween Street
0256C,Bugden Avenue
0098B,Haydon Drive
0271A,Donaldson Street
4003A,Cotter Road (ROADWORKS)
0256E,Bugden Avenue
4002C,Horse Park Drive Road Works
4004B,Flemington Road (ROADWORKS)
4004C,Flemington Road (ROADWORKS)
0262A,Heagney Crescent
0020C,Monaro Highway
0061B,Barton Highway
0061V,Barton Highway
0002P,Antill Street
0029A,Owen Dixon Drive
0226B,Langtree Crescent
0179A,Dumas Street
0002F,Antill Street
0172A,Lawrence Wackett Crescent
0096L,Coulter Drive
0006F,Coppins Crossing Road
0051D,La Perouse Street
0140A,Kootara Crescent
0072P,Monaro Highway
0013C,Hindmarsh Drive
0087F,Clift Crescent
0075B,Parkes Way
0048A,Livingston Avenue
0084B,Gundaroo Drive
0162A,Carruthers Street
0170A,Giles Street
0276A,Froggatt Street
4002E,Horse Park Drive Road Works
3063A,O'Halloran Circuit
0275B,O'Halloran Circuit
4005B,Ashley Drive (ROADWORKS)
4002D,Horse Park Drive Road Works
4005A,Ashley Drive (ROADWORKS)
0046A,Newman Morris Circuit
0021B,Mugga Lane
0085B,Gundaroo Drive
0037A,Namatjira Drive
0194A,Jennings Street
0049C,Clive Steele Avenue
0192B,Dunstan Street
3050B,Oodgeroo Avenue
0072E,Monaro Highway
3028B,Ashburton Cct
0162C,Carruthers Street
0004N,Belconnen Way
0016E,Lady Denman Drive
0176A,Hurley Street
0055E,Athllon Drive
0285A,Julia Flynn Avenue
0289A,Norriss Street
0284A,Lambrigg Street
3065A,White Crescent
0290A,Hemmings Crescent
0281A,Templestowe Avenue
3072A,Langdon Avenue
0291B,Schlich Street
0040A,Maribyrnong Avenue
0190B,Duggan Street
0088C,Cotter Road
0232B,Uriarra Road
0088D,Cotter Road
0070A,Kuringa Drive
0150B,Forsythe Street
0148A,Troughton Street
0002M,Antill Street
0278A,Hambidge Crescent
0061I,Barton Highway
0196B,Anthony Rolfe Avenue
0292B,Eggleston Crescent
0294B,Jackie Howe Crescent
0108A,Spofforth Street
0201B,William Slim Drive
0144C,Boddington Crescent
0002K,Antill Street
0297A,Matina Street
0295A,Boolimba Crescent
0148B,Troughton Street
0192A,Dunstan Street
0149B,Paperbark Street
0146C,Perry Drive
0305A,Clancy Street
0148C,Troughton Street
0061K,Barton Highway
0294C,Jackie Howe Crescent
0210C,Lyttleton Crescent
0122A,Gungahlin Drive
0028A,Pockett Avenue
0004Q,Belconnen Way
0002O,Antill Street
0303A,Cossington Smith Crescent
0021E,Mugga Lane
0121C,David Street
0100A,Jansz Crescent
0252A,Don Dunstan Drive
0162B,Carruthers Street
0238B,Lhotsky Street
0163A,Gilmore Crescent
0149C,Paperbark Street
0011G,Ginninderra Drive
0098D,Haydon Drive
